recorded,RADON_SHORT_TERM_AVG,TEMP,HUMIDITY,PRESSURE,CO2,VOC
,,,,,,
2020-07-12T15:28:05,,80.35,46.5,1005,563,46
,,,,,,
2020-07-12T15:33:05,,79.84,47,1005,661,46
,,,,,,
2020-07-12T15:38:05,,79.5,47,1005,732,46
,,,,,,
2020-07-12T15:43:05,,79.25,47,1005,783,46
,,,,,,
2020-07-12T15:48:05,,79.09,47.5,1005,825,46
,,,,,,
2020-07-12T15:53:05,,79.02,47.5,1005,859,46
,,,,,,
2020-07-12T15:58:05,,79.03,47.5,1005,885,46
,,,,,,
2020-07-12T16:03:05,,78.94,47.5,1005,910,46
,,,,,,
2020-07-12T16:08:05,,78.87,47.5,1005,929,46
,,,,,,
2020-07-12T16:13:05,,78.76,47.5,1005,946,46
,,,,,,
2020-07-12T16:18:05,,78.6,47.5,1005,956,46
,,,,,,
2020-07-12T16:23:05,0,78.44,47.5,1005,965,46
,,,,,,
2020-07-12T16:28:05,,78.26,47.5,1005,972,46
,,,,,,
2020-07-12T16:33:05,,78.17,48,1005,977,46
,,,,,,
2020-07-12T16:38:05,,78.42,49.5,1005,980,46
,,,,,,
2020-07-12T16:43:05,,78.67,51,1005,985,46
,,,,,,
2020-07-12T16:48:05,,78.76,51,1005,984,46
,,,,,,
2020-07-12T16:53:05,,78.55,50.5,1005,986,46
,,,,,,
2020-07-12T16:58:05,,78.33,50,1005,986,46
,,,,,,
2020-07-12T17:03:05,,78.13,49.5,1005,988,46
,,,,,,
2020-07-12T17:08:05,,78.01,49,1005,986,46
,,,,,,
2020-07-12T17:13:05,,77.92,49,1005,984,46
,,,,,,
2020-07-12T17:18:05,,77.97,50,1005,984,46
,,,,,,
2020-07-12T17:23:05,0,78.24,51.5,1005,986,46
,,,,,,
2020-07-12T17:28:05,,78.46,53,1005,987,46
,,,,,,
2020-07-12T17:33:05,,78.31,52,1005,988,52
,,,,,,
2020-07-12T17:38:05,,78.1,51,1005,990,46
,,,,,,
2020-07-12T17:43:05,,77.88,50.5,1005,989,52
,,,,,,
2020-07-12T17:48:05,,77.77,50.5,1005,986,46
,,,,,,
2020-07-12T17:53:05,,78.06,52,1005,979,46
,,,,,,
2020-07-12T17:58:05,,78.37,53.5,1005,977,46
,,,,,,
2020-07-12T18:03:05,,78.37,53,1005,970,46
,,,,,,
2020-07-12T18:08:05,,78.28,52.5,1005,969,56
,,,,,,
2020-07-12T18:13:05,,78.21,52,1005,968,103
,,,,,,
2020-07-12T18:18:05,,78.13,51.5,1005,969,93
,,,,,,
2020-07-12T18:23:05,0,78.17,51.5,1005,972,103
,,,,,,
2020-07-12T18:28:05,,78.53,52,1005,969,88
,,,,,,
2020-07-12T18:33:05,,78.82,52,1005,966,76
,,,,,,
2020-07-12T18:38:05,,79.05,52.5,1005,964,78
,,,,,,
2020-07-12T18:43:05,,79.25,52.5,1005,962,61
,,,,,,
2020-07-12T18:48:05,,79.45,53,1005,962,46
,,,,,,
2020-07-12T18:53:05,,79.63,53.5,1005,971,46
,,,,,,
2020-07-12T18:58:05,,79.81,54,1005,975,46
,,,,,,
2020-07-12T19:03:05,,79.95,54.5,1005,982,46
,,,,,,
2020-07-12T19:08:05,,80.1,54.5,1005,986,46
,,,,,,
2020-07-12T19:13:05,,80.22,55,1004,984,46
,,,,,,
2020-07-12T19:18:05,,80.33,55,1004,982,46
,,,,,,
2020-07-12T19:23:05,0,80.4,55,1004,984,46
,,,,,,
2020-07-12T19:28:05,,80.49,55,1004,983,54
,,,,,,
2020-07-12T19:33:05,,80.6,55.5,1004,984,46
,,,,,,
2020-07-12T19:38:05,,80.67,55.5,1004,987,46
,,,,,,
2020-07-12T19:43:05,,80.74,55.5,1004,988,59
,,,,,,
2020-07-12T19:48:05,,80.83,55.5,1004,986,61
,,,,,,
2020-07-12T19:53:05,,80.91,55.5,1004,984,52
,,,,,,
2020-07-12T19:58:05,,81,55.5,1004,980,46
,,,,,,
2020-07-12T20:03:05,,80.91,54.5,1004,975,54
,,,,,,
2020-07-12T20:08:05,,80.73,53.5,1004,966,63
,,,,,,
2020-07-12T20:13:05,,80.58,53,1004,957,78
,,,,,,
2020-07-12T20:18:05,,80.44,52,1004,946,82
,,,,,,
2020-07-12T20:23:05,0,80.35,51.5,1004,936,97
,,,,,,
2020-07-12T20:28:05,,80.26,51,1004,929,118
,,,,,,
2020-07-12T20:33:05,,80.17,50.5,1004,921,136
,,,,,,
2020-07-12T20:38:05,,80.13,50,1004,917,144
,,,,,,
2020-07-12T20:43:05,,80.1,49.5,1004,907,159
,,,,,,
2020-07-12T20:48:05,,80.01,49,1004,902,169
,,,,,,
2020-07-12T20:53:05,,79.95,48.5,1004,893,184
,,,,,,
2020-07-12T20:58:05,,79.88,48.5,1004,891,208
,,,,,,
2020-07-12T21:03:05,,79.84,48,1004,898,232
,,,,,,
2020-07-12T21:08:05,,79.83,47.5,1004,904,256
,,,,,,
2020-07-12T21:13:05,,79.81,47.5,1004,908,253
,,,,,,
2020-07-12T21:18:05,,79.81,48.5,1004,904,250
,,,,,,
2020-07-12T21:23:05,0,79.59,48,1004,898,259
,,,,,,
2020-07-12T21:28:05,,79.36,47.5,1004,896,301
,,,,,,
2020-07-12T21:33:05,,79.16,47,1004,891,373
,,,,,,
2020-07-12T21:38:05,,78.93,46.5,1004,886,384
,,,,,,
